,B_current_streak,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_decision,B_win_finish,B_Height_cms,B_Reach_cms,R_current_streak,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_decision,R_win_finish,R_Height_cms,R_Reach_cms,R_age,B_age,streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,decision_dif,finish_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,B_match_weightclass_rank,R_match_weightclass_rank,rank_diff,title_bout_True,gender_MALE,weight_class_Bantamweight,weight_class_Catch Weight,weight_class_Featherweight,weight_class_Flyweight,weight_class_Heavyweight,weight_class_Light Heavyweight,weight_class_Lightweight,weight_class_Middleweight,weight_class_Welterweight,weight_class_Women's Bantamweight,weight_class_Women's Featherweight,weight_class_Women's Flyweight,weight_class_Women's Strawweight,no_of_rounds_5,B_Stance_Open Stance,B_Stance_Orthodox,B_Stance_Southpaw,B_Stance_Switch,R_Stance_Open Stance,R_Stance_Orthodox,R_Stance_Southpaw,R_Stance_Switch,better_rank_Blue,better_rank_Red,better_rank_neither,B_is_35plus_1.0,R_is_35plus_1.0,0
500,4.817082268594516,-0.16306047812143026,-0.44389498530548155,-0.2877117810130306,-0.13810923052631538,0.744391358989345,-0.9759783030400766,0.9777998539516901,-0.25991168626644656,2.2393137207934086,0.8084222294147995,-0.5953187891998304,-0.4438878808464908,-0.6665004690294475,2.088899687401144,0.08966618432697632,-0.32503601523535497,-0.8696525836983517,0.826434790194557,1.6083067737248038,3.9646665068454263,5.328056480958992,2.499793931959219,2.7200829379717346,0.24607023230854586,-0.6823058177955516,0.11646219688936481,-0.25759062329192084,4.405776694842351,-1.7568362806205062,-2.2368620553412506,-3.051571710325606,-5.02431405371013,-0.54379843269758,-2.0769784285525277,-1.072676836436274,0.3055822128914735,-0.38735411108420675,-0.15488387537660123,0.04818721675371688,0.5296014091138498,-2.6448947655114163,-2.1398733551987625,0.12213178678154321,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
501,-0.7750968407932567,-0.6738214069236913,0.4395687062361827,0.42528819048694405,0.35945969436361386,-0.9248015775498778,0.41419376037561206,-0.174045981758107,-0.25991168626644656,-0.2894031343033904,-0.38488828879995163,-0.033592567547463065,-0.4438878808464908,-1.0899649824528808,-0.9508935322684231,-1.4559346625468945,0.1635235545708508,0.9684472081574641,0.6167140866430837,0.10775570869674858,-0.449582306429379,0.24564056104082121,-0.08303956371621474,-0.5750470428346072,0.24607023230854586,0.696023080129037,-1.307142832901118,-7.251988268319242e-05,0.4183893354313029,0.09635168343085986,-0.006639436528629118,0.295406702259553,-0.39019997456086464,-0.1495501202212414,0.2595283056314957,-0.3543222025493886,-1.3490610549568012,-0.9567598438536361,0.16374029120836883,0.182928979889877,-0.4175353756081677,0.47350032459828956,0.605979554092061,-0.412298250016066,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
502,1.2584228353477516,1.4472552281408235,0.1450808120005067,-0.24017845005503224,1.237522502992901,0.6887515958290317,-0.9759783030400766,-0.3180267112218316,-0.25991168626644656,0.7220836077353292,-0.782658461538202,-1.1570450108521977,-1.3790858876170105,-0.6665004690294475,0.17175737285132994,0.1240128663783943,0.1635235545708508,0.0736837488474931,-0.15101348187607122,0.48289347495376234,1.0417179683256228,1.516244541020364,-0.08303956371621474,1.0725179475685638,-1.142670064779264,-1.1417487837704126,1.302799721714767,1.2875179971635051,1.6146055432546171,-0.8302422985948231,1.2677734885071545,-1.2626694553231934,-1.548728494348181,0.638946504731436,-1.7431917522405245,0.004855114394053851,-0.2459655430579529,0.18205162168522263,1.3427779627409997,-0.2886671926025282,0.8882260168515798,-0.8907975273247067,-1.8347785874997824,1.9926369155731756,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1
503,0.7500429163124994,0.30513703994730895,1.0579932903153475,-0.4303117753130255,0.22775027306922085,0.8695808292297869,-0.04919692742961747,-0.8939496290767303,0.6458257013019064,-0.7951465053227501,-0.782658461538202,-1.1570450108521977,-0.9114868842317506,-0.6665004690294475,-0.6603250625574131,-1.0437744367138624,-0.05854897740150366,0.6028724232024792,0.6017340379944125,-0.2673820575602652,-1.04610241633138,-0.3896614289489501,-0.9439840622746927,-0.9045600409152413,-0.5871739459441395,-0.9120273007829821,-0.35807281304079613,0.25744558352655444,1.2158668073135124,0.09635168343085986,-0.006639436528629118,0.295406702259553,0.7683285452264517,0.24469819225509726,0.2595283056314957,-0.7134995194928311,0.029808334916759202,0.37185353260836573,0.1413871292649316,-0.25498175106056575,-0.25385542625165275,0.47350032459828956,0.605979554092061,-0.412298250016066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
504,0.24166299727724735,1.9704304848963474,1.323032397777847,-0.7155117639130153,-0.8625110476454771,-0.2988542263476693,0.8775844481808416,0.9058094892198278,1.5515630888702594,0.21634023671596944,1.20619240215305,0.247270543278719,-0.4438878808464908,0.18042855781741884,1.0647982284365374,0.3987863537017508,0.8741556550169758,-0.033687866239025754,0.06245223271406589,1.6083067737248038,3.1295383529826255,1.516244541020364,2.06932168267998,4.038134930294271,-0.30942588652657876,0.006858631166742757,0.8282647117846063,1.0299998937542674,0.019650599490198067,-3.146727253659031,-0.962449130305467,-2.3013868937116913,-0.39019997456086464,-1.7265433701265962,-3.0783384574885377,0.7232097482809406,-0.5217394210326634,-0.007750289237920517,0.15787716662902435,-1.1644886545034137,-0.6179973356468863,-2.8397944586432726,-2.1398733551987625,-0.1450832316172614,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
505,-0.7750968407932567,-0.6312579961901694,-0.7972804619221476,0.42528819048694405,-0.5186031142656732,-0.5158493080977682,0.41419376037561206,-0.39001707595369395,0.6458257013019064,-0.2894031343033904,-0.38488828879995163,-1.9996343433307437,-1.8466848910022677,-1.513429495876314,0.19715671479471797,-1.421587980495477,-0.7247665719861318,-0.0541396027016286,-0.05738816995734936,0.10775570869674858,-0.5688863284097792,-0.3896614289489501,-0.9439840622746927,-0.9045600409152413,-0.8649220053617003,-0.6823058177955516,0.11646219688936481,-0.7726268301103961,0.8171280713724076,0.7912971699501221,-0.006639436528629118,0.2377001779046365,0.7683285452264517,0.638946504731436,0.5933149819434991,-1.4318541533797162,-1.3490610549568012,0.751457354454652,-0.8274941773774288,0.856637797591804,-0.34397135314030053,0.47350032459828956,0.605979554092061,-0.412298250016066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
506,0.24166299727724735,0.8637818058247818,0.3512223370820162,3.1346880821868477,-0.9576345185803167,-1.3420998116846836,-0.9759783030400766,-0.8939496290767303,-0.25991168626644656,-0.7951465053227501,-0.38488828879995163,0.5281336541049011,0.9589091293092836,0.18042855781741884,0.7417186015012746,0.1927062407852345,-0.45827953415228057,0.26541877578770545,1.051135542394701,-0.642519823817279,-0.3302782844489789,-0.3896614289489501,0.3474326855630242,-0.5750470428346072,0.24607023230854586,0.696023080129037,-0.832607822970957,1.0299998937542674,0.019650599490198067,-0.36694530758198163,-0.32524266778757505,-0.3970715899994454,0.1890642853327935,-0.9380467451739186,0.2595283056314957,0.3640324313374952,0.3055822128914705,1.3208630872240814,0.07267864024787851,2.5745952818727393,-0.9048970218370704,0.47350032459828956,0.605979554092061,-0.412298250016066,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
507,0.24166299727724735,-0.7695890810741151,-1.5923977843096455,-0.0025117924130407653,1.969241510183973,0.03498436096017537,-0.512587615234847,-0.6779785348811432,-0.25991168626644656,-0.2894031343033904,-0.782658461538202,-0.033592567547463065,0.023711122538766453,0.18042855781741884,1.4061653814247395,-0.013373872131281274,-0.5026940400137774,-0.6932563589133564,-0.3120490194548365,0.10775570869674858,-0.09167024048817858,-0.3896614289489501,-0.08303956371621474,-0.5750470428346072,0.8015663511436674,0.696023080129037,0.8282647117846063,0.25744558352655444,0.019650599490198067,-0.13529681207556088,0.6305670259892627,-0.45477811435436194,0.1890642853327935,-0.1495501202212414,-0.07425837068050764,-1.0726768364362735,-0.7975132990073771,0.5616554435315089,-2.0605825267535853,0.3850416250993988,1.9916863483522875,0.47350032459828956,0.605979554092061,-0.412298250016066,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
508,-0.7750968407932567,0.6633790801104363,-0.07872999574647278,-0.4303117753130255,0.7009285646300206,0.5079223582552943,0.8775844481808416,1.9136745954659005,-0.25991168626644656,2.2393137207934086,1.20619240215305,1.3707229865834505,1.8941071360798007,-1.0899649824528808,0.511510920491993,0.7442736042509708,-0.254495329376952,1.4045504067031815,-0.14374375192218508,0.8580312412107761,1.6382380782276236,1.516244541020364,2.06932168267998,0.7430049494879296,-0.30942588652657876,-0.6823058177955516,0.5909972068195257,-0.25759062329192084,0.4183893354313029,0.09635168343085986,0.3119637947303168,-0.050832443869946196,-1.548728494348181,-0.1495501202212414,0.2595283056314957,2.1599190160547086,3.0633209926385927,0.751457354454652,0.22657487775765625,-0.10636951146035827,-0.4737902158645238,-1.8652959929839896,-1.5296838198008018,0.12213178678154321,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
