Winner,title_bout,weight_class,gender,no_of_rounds,B_current_streak,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_decision,B_win_finish,B_Stance,B_Height_cms,B_Reach_cms,R_current_streak,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_decision,R_win_finish,R_Stance,R_Height_cms,R_Reach_cms,R_age,B_age,streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,decision_dif,finish_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,B_match_weightclass_rank,R_match_weightclass_rank,better_rank,rank_diff,B_is_35plus,R_is_35plus,year
Blue,False,Middleweight,MALE,3,5,5.09,0.53,0.6,1.56,0.55,2,22,0,4,2,Orthodox,185.42,185.42,5,3.61,0.51,2.5,4.48,0.54,0,13,0,2,3,Switch,182.88,185.42,32,30,0,1,2,9,0,2,-1,2.5400000000000205,0.0,-2,1.48,-1.9,-2.9200000000000004,20.0,20.0,neither,0.0,0.0,0.0,2023
Red,False,Bantamweight,MALE,3,4,5.28,0.46,0.8,1.0,0.36,0,10,0,1,3,Southpaw,172.72,170.18,2,3.51,0.46,1.4,1.4,0.54,1,10,0,2,1,Orthodox,170.18,180.34,25,22,2,1,-1,0,0,-1,2,2.539999999999992,-10.159999999999997,-3,1.7700000000000005,-0.5999999999999999,-0.3999999999999999,20.0,20.0,neither,0.0,0.0,0.0,2023
Red,False,Featherweight,MALE,3,-1,3.37,0.44,1.3,3.41,0.57,4,22,0,2,2,Switch,175.26,182.88,-1,3.44,0.38,1.1,2.85,0.35,10,69,0,11,6,Orthodox,177.8,180.34,39,33,0,-13,-6,-47,0,-9,-4,-2.5400000000000205,2.539999999999992,-6,-0.0699999999999998,0.1999999999999999,0.56,20.0,20.0,neither,0.0,0.0,1.0,2023
Red,False,Women's Bantamweight,FEMALE,3,0,1.0,0.48,0.0,2.0,0.66,0,0,0,0,0,Orthodox,165.1,165.1,1,2.05,0.5,0.5,2.05,0.4,0,3,0,0,1,Orthodox,170.18,170.18,32,26,-1,-1,0,-3,0,0,-1,-5.0800000000000125,-5.0800000000000125,-6,-1.0499999999999998,-0.5,-0.0499999999999998,20.0,20.0,neither,0.0,0.0,0.0,2023
Red,False,Lightweight,MALE,3,0,3.0,0.1,0.0,0.0,0.0,0,0,0,0,0,Orthodox,175.26,177.8,1,4.46,0.52,1.0,3.52,0.36,4,11,0,0,4,Switch,177.8,185.42,29,27,-1,-4,-4,-11,0,0,-4,-2.5400000000000205,-7.620000000000003,-2,-1.46,-1.0,-3.52,20.0,20.0,neither,0.0,0.0,0.0,2023
Blue,False,Women's Bantamweight,FEMALE,3,0,3.47,0.54,0.0,0.0,0.0,0,0,0,0,0,Orthodox,170.18,172.72,1,3.84,0.43,0.9,0.87,0.2,0,1,0,0,1,Orthodox,172.72,170.18,33,32,-1,-1,0,-1,0,0,-1,-2.539999999999992,2.539999999999992,-1,-0.3699999999999996,-0.9,-0.87,20.0,20.0,neither,0.0,0.0,0.0,2023
Red,False,Bantamweight,MALE,3,2,2.88,0.33,0.0,1.82,0.4,1,16,0,3,1,Orthodox,165.1,167.64,-1,5.04,0.57,0.1,0.34,0.37,2,25,0,4,3,Orthodox,175.26,170.18,32,31,3,-3,-1,-9,0,-1,-2,-10.159999999999997,-2.539999999999992,-1,-2.16,-0.1,1.48,20.0,15.0,Red,5.0,0.0,0.0,2023
Blue,False,Women's Strawweight,FEMALE,3,-2,6.93,0.48,0.0,0.25,0.14,2,9,0,1,0,Orthodox,157.48,160.02,-2,3.42,0.39,0.6,1.09,0.27,7,30,0,3,0,Southpaw,170.18,175.26,35,29,0,-2,-5,-21,0,-2,0,-12.700000000000015,-15.23999999999998,-6,3.51,-0.6,-0.8400000000000001,20.0,20.0,neither,0.0,0.0,1.0,2023
Blue,False,Lightweight,MALE,5,1,6.15,0.52,0.3,1.21,0.37,11,70,0,9,6,Orthodox,177.8,180.34,9,2.97,0.51,1.5,3.68,0.36,0,27,0,3,6,Switch,177.8,182.88,29,37,-8,6,11,43,0,6,0,0.0,-2.539999999999992,8,3.18,-1.2,-2.47,20.0,10.0,Red,10.0,1.0,0.0,2023
Red,False,Middleweight,MALE,3,1,3.37,0.48,0.2,0.89,0.38,5,20,0,0,6,Orthodox,177.8,185.42,3,3.64,0.45,1.8,2.97,0.83,1,5,0,0,3,Orthodox,187.96,190.5,27,38,-2,3,4,15,0,0,3,-10.159999999999997,-5.079999999999984,11,-0.27,-1.6,-2.08,20.0,20.0,neither,0.0,1.0,0.0,2023
