Winner,title_bout,weight_class,gender,no_of_rounds,B_current_streak,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_decision,B_win_finish,B_Stance,B_Height_cms,B_Reach_cms,R_current_streak,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_decision,R_win_finish,R_Stance,R_Height_cms,R_Reach_cms,R_age,B_age,streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,decision_dif,finish_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,B_match_weightclass_rank,R_match_weightclass_rank,better_rank,rank_diff,B_is_35plus,R_is_35plus,year
Blue,False,Women's Strawweight,FEMALE,3,-1,4.03,0.5,1.3,3.82,0.47,3,16,0,2,1,Orthodox,157.48,154.94,-4,4.41,0.38,0.8,1.8,0.44,5,31,0,3,3,Orthodox,162.56,162.56,35,29,3,-3,-2,-15,0,-1,-2,-5.0800000000000125,-7.620000000000003,-6,-0.3799999999999999,0.5,2.02,20.0,20.0,neither,0.0,0.0,1.0,2023
Red,False,Catch Weight,MALE,3,1,3.42,0.41,0.7,0.67,0.14,1,6,0,1,0,Orthodox,180.34,182.88,2,6.97,0.46,0.4,0.0,0.0,1,11,0,0,3,Orthodox,190.5,190.5,25,33,-1,-2,0,-5,0,1,-3,-10.159999999999997,-7.620000000000003,8,-3.55,0.2999999999999999,0.67,20.0,20.0,neither,0.0,0.0,0.0,2023
Blue,False,Featherweight,MALE,3,1,4.85,0.56,0.4,1.51,0.44,2,8,0,0,3,Southpaw,182.88,190.5,3,2.28,0.45,0.0,2.9,0.33,1,10,0,2,1,Orthodox,172.72,175.26,28,30,-2,0,1,-2,0,-2,2,10.159999999999997,15.240000000000007,2,2.57,0.4,-1.39,20.0,20.0,neither,0.0,0.0,0.0,2023
Blue,False,Women's Strawweight,FEMALE,3,-1,3.79,0.46,0.0,1.12,0.41,4,16,0,1,1,Orthodox,165.1,162.56,0,3.42,0.52,3.7,1.57,0.23,0,0,0,0,0,Orthodox,160.02,172.72,27,30,-1,2,4,16,0,1,1,5.079999999999984,-10.159999999999997,3,0.3700000000000001,-3.7,-0.4499999999999999,20.0,20.0,neither,0.0,0.0,0.0,2023
Blue,False,Bantamweight,MALE,5,1,5.33,0.44,0.3,1.36,0.33,3,29,1,2,6,Switch,180.34,177.8,4,4.37,0.5,0.9,0.58,0.39,6,53,0,3,11,Switch,172.72,177.8,30,30,-3,-6,-3,-24,1,-1,-5,7.620000000000003,0.0,0,0.96,-0.6000000000000001,0.7800000000000001,5.0,3.0,Red,2.0,0.0,0.0,2023
Red,False,Women's Bantamweight,FEMALE,3,-1,4.16,0.56,0.1,1.11,0.53,3,17,1,4,0,Orthodox,167.64,172.72,-1,3.21,0.4,0.1,0.9,0.3,6,48,5,5,2,Southpaw,172.72,175.26,41,33,0,-3,-3,-31,-4,-1,-2,-5.079999999999984,-2.539999999999992,-8,0.9500000000000002,0.0,0.21,6.0,3.0,Red,3.0,0.0,1.0,2023
Red,False,Featherweight,MALE,3,2,3.86,0.37,0.0,0.43,0.66,1,9,0,2,0,Orthodox,177.8,177.8,2,6.14,0.46,1.1,1.07,0.41,2,11,0,2,1,Orthodox,175.26,182.88,34,28,0,-1,-1,-2,0,0,-1,2.5400000000000205,-5.079999999999984,-6,-2.28,-1.1,-0.6400000000000001,20.0,20.0,neither,0.0,0.0,0.0,2023
Blue,False,Women's Flyweight,FEMALE,3,3,4.6,0.52,0.1,1.14,0.35,2,23,0,3,4,Switch,165.1,165.1,-1,4.91,0.47,0.6,1.84,0.57,4,25,0,3,2,Orthodox,167.64,175.26,34,24,4,2,-2,-2,0,0,2,-2.5400000000000205,-10.159999999999997,-10,-0.3100000000000005,-0.5,-0.7000000000000002,13.0,11.0,Red,2.0,0.0,0.0,2023
Blue,False,Middleweight,MALE,3,-1,2.99,0.4,0.6,1.97,0.29,1,6,0,1,1,Orthodox,180.34,190.5,-1,4.04,0.6,0.3,0.0,0.0,1,7,0,0,3,Orthodox,190.5,203.2,34,34,0,-1,0,-1,0,1,-2,-10.159999999999997,-12.699999999999989,0,-1.0499999999999998,0.3,1.97,20.0,20.0,neither,0.0,0.0,0.0,2023
Red,False,Featherweight,MALE,3,-1,3.74,0.46,0.2,1.99,0.44,1,12,0,3,0,Orthodox,172.72,182.88,-1,3.09,0.49,1.7,1.71,0.25,5,19,0,0,4,Orthodox,170.18,175.26,37,28,0,-1,-4,-7,0,3,-4,2.539999999999992,7.620000000000003,-9,0.6500000000000004,-1.5,0.28,20.0,20.0,neither,0.0,0.0,1.0,2023
Blue,False,Featherweight,MALE,3,-1,5.05,0.53,0.0,0.0,0.0,1,1,0,0,0,Orthodox,180.34,185.42,-1,4.76,0.4,0.7,1.42,0.26,5,23,0,2,1,Orthodox,177.8,177.8,32,27,0,-3,-4,-22,0,-2,-1,2.539999999999992,7.620000000000003,-5,0.29,-0.7,-1.42,20.0,20.0,neither,0.0,0.0,0.0,2023
Red,False,Welterweight,MALE,3,1,4.14,0.56,3.5,3.11,0.33,1,4,0,1,0,Orthodox,180.34,180.34,1,2.97,0.53,0.3,1.27,0.55,4,26,0,3,3,Orthodox,182.88,187.96,30,27,0,-5,-3,-22,0,-2,-3,-2.539999999999992,-7.620000000000003,-3,1.1699999999999997,3.2,1.84,20.0,20.0,neither,0.0,0.0,0.0,2023
Red,False,Flyweight,MALE,3,-3,4.16,0.47,1.3,1.91,0.42,3,4,0,0,0,Switch,167.64,177.8,-1,6.01,0.57,0.2,0.0,0.0,2,9,0,1,1,Orthodox,167.64,172.72,31,26,-2,-2,1,-5,0,-1,-1,0.0,5.0800000000000125,-5,-1.85,1.1,1.91,20.0,20.0,neither,0.0,0.0,0.0,2023
Red,False,Flyweight,MALE,3,1,5.44,0.42,0.0,0.38,0.11,0,2,0,0,1,Southpaw,170.18,177.8,1,5.0,0.57,0.0,2.12,0.25,1,7,0,1,1,Switch,172.72,177.8,32,26,0,-1,-1,-5,0,-1,0,-2.539999999999992,0.0,-6,0.4400000000000004,0.0,-1.7400000000000002,20.0,20.0,neither,0.0,0.0,0.0,2023
Red,True,Welterweight,MALE,5,-1,4.36,0.52,0.1,2.82,0.45,1,58,8,10,5,Switch,182.88,193.04,10,2.8,0.53,0.3,1.26,0.33,2,50,1,8,4,Southpaw,187.96,187.96,31,35,-11,3,-1,8,7,2,1,-5.0800000000000125,5.079999999999984,4,1.5600000000000005,-0.1999999999999999,1.5599999999999998,1.0,0.0,Red,1.0,1.0,0.0,2023
Red,False,Lightweight,MALE,3,6,4.9,0.51,0.0,0.29,0.4,1,19,0,3,3,Switch,172.72,180.34,-1,7.35,0.6,0.0,0.13,0.25,4,23,2,1,5,Orthodox,180.34,177.8,34,30,7,0,-3,-4,-2,2,-2,-7.620000000000003,2.539999999999992,-4,-2.45,0.0,0.1599999999999999,6.0,3.0,Red,3.0,0.0,0.0,2023
Red,False,Welterweight,MALE,3,-1,5.53,0.48,0.3,0.14,0.22,7,41,0,4,5,Southpaw,182.88,182.88,1,1.84,0.61,1.0,1.9,0.59,5,32,0,2,7,Switch,180.34,182.88,34,33,-2,0,2,9,0,2,-2,2.539999999999992,0.0,-1,3.69,-0.7,-1.7599999999999998,20.0,20.0,neither,0.0,0.0,0.0,2023
Red,False,Women's Flyweight,FEMALE,3,4,8.77,0.55,0.7,1.96,0.42,0,10,0,1,3,Orthodox,167.64,175.26,1,4.35,0.38,0.1,0.42,0.27,5,30,1,4,1,Orthodox,162.56,162.56,34,25,3,-1,-5,-20,-1,-3,2,5.0800000000000125,12.699999999999989,-9,4.42,0.6,1.54,12.0,8.0,Red,4.0,0.0,0.0,2023
Red,False,Middleweight,MALE,3,4,3.02,0.44,1.7,1.72,0.5,1,14,0,2,4,Orthodox,187.96,193.04,-1,4.56,0.45,0.5,1.66,0.45,4,43,1,6,2,Southpaw,182.88,187.96,29,34,5,-2,-3,-29,-1,-4,2,5.0800000000000125,5.079999999999984,5,-1.5399999999999996,1.2,0.06,9.0,4.0,Red,5.0,0.0,0.0,2023
Red,False,Featherweight,MALE,3,-1,1.33,0.44,1.1,3.96,0.43,6,28,0,2,5,Southpaw,177.8,182.88,-1,3.84,0.58,0.7,3.42,0.4,1,16,0,3,2,Orthodox,172.72,180.34,28,34,0,2,5,12,0,-1,3,5.0800000000000125,2.539999999999992,6,-2.51,0.4000000000000001,0.54,20.0,20.0,neither,0.0,0.0,0.0,2023
Red,False,Lightweight,MALE,3,-2,3.42,0.4,0.0,0.46,1.0,3,18,0,3,1,Orthodox,180.34,185.42,1,5.08,0.46,0.0,3.63,0.39,1,3,0,0,1,Orthodox,177.8,180.34,29,37,-3,3,2,15,0,3,0,2.539999999999992,5.0800000000000125,8,-1.66,0.0,-3.17,20.0,20.0,neither,0.0,1.0,0.0,2023
Blue,False,Lightweight,MALE,3,0,3.08,0.42,0.0,0.92,0.5,0,0,0,0,0,Orthodox,175.26,172.72,1,2.56,0.36,2.8,0.0,0.0,0,2,0,0,1,Orthodox,190.5,198.12,26,27,-1,-1,0,-2,0,0,-1,-15.240000000000007,-25.40000000000001,1,0.52,-2.8,0.92,20.0,20.0,neither,0.0,0.0,0.0,2023
Red,False,Flyweight,MALE,3,1,2.0,0.37,2.0,1.53,0.27,0,3,0,0,1,Orthodox,170.18,172.72,3,1.12,0.51,1.3,6.47,0.53,0,7,0,1,2,Orthodox,170.18,177.8,22,29,-2,-2,0,-4,0,-1,-1,0.0,-5.0800000000000125,7,0.8799999999999999,0.7,-4.94,20.0,12.0,Red,8.0,0.0,0.0,2023
Red,False,Featherweight,MALE,3,0,4.46,0.55,1.2,4.34,0.46,0,0,0,0,0,Orthodox,175.26,177.8,3,3.65,0.5,0.9,1.29,0.46,0,9,0,1,2,Orthodox,175.26,185.42,31,26,-3,-3,0,-9,0,-1,-2,0.0,-7.620000000000003,-5,0.81,0.2999999999999999,3.05,20.0,20.0,neither,0.0,0.0,0.0,2023
Red,False,Middleweight,MALE,3,1,5.54,0.57,0.0,0.96,0.12,3,13,0,1,3,Orthodox,185.42,187.96,0,4.03,0.5,0.0,0.0,0.0,0,0,0,0,0,Switch,187.96,200.66,27,28,1,4,3,13,0,1,3,-2.539999999999992,-12.699999999999989,1,1.5099999999999998,0.0,0.96,20.0,20.0,neither,0.0,0.0,0.0,2023
Red,False,Flyweight,MALE,3,-1,1.93,0.42,0.8,1.61,0.3,3,9,0,1,1,Switch,170.18,180.34,1,3.42,0.44,2.2,0.32,0.25,1,7,0,0,2,Southpaw,170.18,177.8,26,32,-2,0,2,2,0,1,-1,0.0,2.539999999999992,6,-1.49,-1.4,1.29,20.0,20.0,neither,0.0,0.0,0.0,2023
Red,False,Women's Flyweight,FEMALE,3,-1,4.65,0.5,0.7,0.15,0.25,2,16,0,4,0,Orthodox,167.64,175.26,-3,6.93,0.51,0.3,1.57,0.54,8,33,0,5,2,Orthodox,167.64,165.1,37,29,2,-3,-6,-17,0,-1,-2,0.0,10.159999999999997,-8,-2.28,0.3999999999999999,-1.4200000000000002,20.0,20.0,neither,0.0,0.0,1.0,2023
Blue,False,Women's Flyweight,FEMALE,3,-1,3.35,0.46,0.5,1.34,0.4,4,12,0,0,1,Southpaw,162.56,162.56,1,3.31,0.45,1.8,1.84,0.44,0,3,0,0,1,Orthodox,170.18,167.64,26,27,-2,0,4,9,0,0,0,-7.620000000000003,-5.0800000000000125,1,0.04,-1.3,-0.5,20.0,20.0,neither,0.0,0.0,0.0,2023
Blue,False,Bantamweight,MALE,5,8,4.46,0.41,0.3,6.55,0.36,2,29,0,7,1,Orthodox,167.64,172.72,-2,5.03,0.53,0.1,1.71,0.52,3,37,4,4,4,Switch,170.18,170.18,30,32,10,0,-1,-8,-4,3,-3,-2.539999999999992,2.539999999999992,2,-0.5700000000000003,0.1999999999999999,4.84,3.0,2.0,Red,1.0,0.0,0.0,2023
Red,False,Heavyweight,MALE,3,-1,4.06,0.52,0.9,4.32,0.54,1,12,0,1,4,Southpaw,187.96,190.5,1,5.1,0.57,0.2,0.49,0.63,4,38,0,4,5,Orthodox,200.66,203.2,34,32,-2,-4,-3,-26,0,-3,-1,-12.699999999999989,-12.699999999999989,-2,-1.04,0.7,3.83,14.0,8.0,Red,6.0,0.0,0.0,2023
Red,False,Catch Weight,MALE,3,2,3.42,0.4,1.5,1.29,0.35,3,16,0,2,6,Orthodox,195.58,200.66,2,4.38,0.55,1.4,2.29,0.38,7,31,0,2,8,Orthodox,190.5,195.58,31,31,0,-2,-4,-15,0,0,-2,5.0800000000000125,5.079999999999984,0,-0.96,0.1,-1.0,20.0,20.0,neither,0.0,0.0,0.0,2023
Blue,False,Bantamweight,MALE,3,4,4.64,0.5,0.1,0.44,0.41,3,31,0,5,3,Southpaw,172.72,177.8,4,3.55,0.47,1.4,1.01,0.16,1,14,0,2,4,Orthodox,172.72,177.8,30,28,0,2,2,17,0,3,-1,0.0,0.0,-2,1.09,-1.2999999999999998,-0.5700000000000001,20.0,20.0,neither,0.0,0.0,0.0,2023
Red,False,Bantamweight,MALE,3,2,3.44,0.55,0.4,2.27,0.55,5,17,0,2,2,Southpaw,167.64,172.72,3,5.32,0.51,1.3,2.72,0.5,2,13,0,2,3,Switch,175.26,175.26,29,43,-1,-1,3,4,0,0,-1,-7.619999999999976,-2.539999999999992,14,-1.8800000000000003,-0.9,-0.4500000000000002,20.0,20.0,neither,0.0,1.0,0.0,2023
Red,False,Light Heavyweight,MALE,3,-1,1.72,0.53,0.0,6.55,0.51,1,4,0,1,0,Orthodox,193.04,198.12,1,3.35,0.5,1.2,4.42,0.73,0,2,0,0,1,Orthodox,187.96,195.58,25,26,-2,0,1,2,0,1,-1,5.079999999999984,2.539999999999992,1,-1.63,-1.2,2.13,20.0,20.0,neither,0.0,0.0,0.0,2023
Red,False,Heavyweight,MALE,3,-1,5.08,0.48,0.6,0.64,0.5,1,6,0,0,1,Orthodox,193.04,198.12,1,2.93,0.49,0.0,4.0,0.46,0,3,0,1,0,Orthodox,190.5,200.66,33,30,-2,0,1,3,0,-1,1,2.539999999999992,-2.539999999999992,-3,2.15,0.6,-3.36,20.0,20.0,neither,0.0,0.0,0.0,2023
Blue,False,Bantamweight,MALE,3,1,4.77,0.42,0.2,1.26,0.41,5,26,1,2,3,Orthodox,172.72,175.26,1,3.22,0.42,0.2,1.65,0.39,8,61,0,12,3,Orthodox,165.1,167.64,40,37,0,-10,-3,-35,1,-10,0,7.620000000000003,7.619999999999976,-3,1.5499999999999994,0.0,-0.3899999999999999,20.0,20.0,neither,0.0,1.0,1.0,2023
Blue,False,Middleweight,MALE,3,-2,2.93,0.43,1.4,0.84,0.25,2,5,0,0,0,Orthodox,193.04,193.04,1,1.88,0.49,0.4,0.77,0.5,0,1,0,0,1,Orthodox,187.96,200.66,27,29,-3,-1,2,4,0,0,-1,5.079999999999984,-7.620000000000003,2,1.0500000000000005,1.0,0.0699999999999999,20.0,20.0,neither,0.0,0.0,0.0,2023
Red,False,Bantamweight,MALE,3,-1,3.82,0.48,0.3,5.4,0.41,3,20,0,2,3,Orthodox,165.1,175.26,-1,8.26,0.54,0.6,0.0,0.0,1,6,0,1,0,Switch,170.18,172.72,35,31,0,4,2,14,0,1,3,-5.0800000000000125,2.539999999999992,-4,-4.44,-0.3,5.4,20.0,20.0,neither,0.0,0.0,1.0,2023
Red,False,Women's Flyweight,FEMALE,3,-1,4.05,0.46,0.0,0.71,0.25,4,31,0,7,0,Southpaw,165.1,170.18,-1,3.94,0.39,0.3,0.54,0.5,5,18,0,2,1,Orthodox,167.64,170.18,29,30,0,4,-1,13,0,5,-1,-2.5400000000000205,0.0,1,0.1099999999999998,-0.3,0.1699999999999999,20.0,20.0,neither,0.0,0.0,0.0,2023
Blue,False,Flyweight,MALE,3,2,3.05,0.46,0.3,2.57,0.3,2,12,0,0,2,Orthodox,162.56,165.1,1,3.87,0.33,0.0,0.0,0.0,3,13,0,0,3,Orthodox,170.18,172.72,39,32,1,-1,-1,-1,0,0,-1,-7.620000000000003,-7.620000000000003,-7,-0.8200000000000003,0.3,2.57,20.0,15.0,Red,5.0,0.0,1.0,2023
Red,False,Welterweight,MALE,3,-1,4.73,0.47,0.0,0.49,1.0,3,10,0,0,1,Orthodox,182.88,195.58,-1,2.93,0.49,0.8,2.05,0.29,1,3,0,0,2,Orthodox,182.88,193.04,35,29,0,-1,2,7,0,0,-1,0.0,2.5400000000000205,-6,1.8000000000000005,-0.8,-1.5599999999999998,20.0,20.0,neither,0.0,0.0,1.0,2023
Red,True,Heavyweight,MALE,5,1,5.49,0.6,0.5,0.58,0.21,1,30,2,3,5,Orthodox,193.04,205.74,17,4.29,0.57,0.5,1.93,0.45,1,73,15,10,10,Orthodox,193.04,213.36,35,32,-16,-12,0,-43,-13,-7,-5,0.0,-7.620000000000003,-3,1.2000000000000002,0.0,-1.35,1.0,20.0,Blue,-19.0,0.0,1.0,2023
Blue,True,Women's Flyweight,FEMALE,5,4,4.67,0.43,0.6,0.41,0.45,3,28,1,6,1,Orthodox,165.1,167.64,9,3.28,0.52,0.4,2.56,0.63,2,51,10,6,6,Southpaw,165.1,167.64,34,29,-5,-5,1,-23,-9,0,-5,0.0,0.0,-5,1.39,0.1999999999999999,-2.15,6.0,0.0,Red,6.0,0.0,0.0,2023
Blue,False,Welterweight,MALE,3,4,4.45,0.59,1.5,1.49,0.33,0,6,0,0,4,Orthodox,185.42,195.58,2,5.22,0.5,0.1,0.51,0.44,2,24,0,2,6,Southpaw,180.34,190.5,32,28,2,-4,-2,-18,0,-2,-2,5.0800000000000125,5.0800000000000125,-4,-0.7699999999999996,1.4,0.98,9.0,7.0,Red,2.0,0.0,0.0,2023
Red,False,Lightweight,MALE,3,5,5.82,0.48,1.3,0.91,0.55,2,14,0,0,7,Southpaw,190.5,195.58,-1,2.97,0.5,0.2,4.36,0.3,2,16,0,1,3,Southpaw,177.8,177.8,32,27,6,3,0,-2,0,-1,4,12.699999999999989,17.78,-5,2.85,1.1,-3.45,10.0,7.0,Red,3.0,0.0,0.0,2023
Red,False,Middleweight,MALE,3,-2,2.84,0.48,0.1,1.44,0.4,6,19,0,2,1,Orthodox,187.96,203.2,2,2.76,0.62,13.8,11.04,0.5,0,2,0,0,2,Southpaw,185.42,193.04,27,34,-4,1,6,17,0,2,-1,2.539999999999992,10.159999999999997,7,0.08,-13.7,-9.6,20.0,20.0,neither,0.0,0.0,0.0,2023
Red,False,Bantamweight,MALE,3,-3,2.13,0.37,0.2,0.62,0.15,3,13,0,0,1,Southpaw,170.18,177.8,-2,3.0,0.4,0.0,1.13,0.34,5,26,3,2,5,Orthodox,172.72,165.1,31,32,-1,-6,-2,-13,-3,-2,-4,-2.539999999999992,12.700000000000015,1,-0.8700000000000001,0.2,-0.5099999999999999,20.0,20.0,neither,0.0,0.0,0.0,2023
Blue,False,Middleweight,MALE,3,4,6.95,0.55,1.1,2.72,0.5,0,9,0,1,3,Switch,185.42,193.04,-1,3.51,0.47,0.6,3.14,0.33,7,49,0,7,10,Southpaw,185.42,195.58,39,29,5,-13,-7,-40,0,-6,-7,0.0,-2.5400000000000205,-10,3.4400000000000004,0.5000000000000001,-0.4199999999999999,10.0,5.0,Red,5.0,0.0,1.0,2023
Blue,False,Women's Flyweight,FEMALE,3,-1,4.73,0.42,0.9,2.27,0.53,2,17,0,3,2,Orthodox,160.02,167.64,-1,4.34,0.47,0.7,1.83,0.46,3,26,0,4,1,Orthodox,162.56,172.72,36,29,0,0,-1,-9,0,-1,1,-2.539999999999992,-5.079999999999984,-7,0.3900000000000005,0.2,0.4399999999999999,20.0,20.0,neither,0.0,0.0,1.0,2023
Blue,False,Middleweight,MALE,3,-1,5.95,0.47,0.1,0.24,0.25,5,22,0,1,2,Orthodox,185.42,187.96,-1,4.86,0.44,2.6,0.0,0.0,2,13,0,0,4,Orthodox,187.96,182.88,32,33,0,-1,3,9,0,1,-2,-2.539999999999992,5.0800000000000125,1,1.09,-2.5,0.24,20.0,20.0,neither,0.0,0.0,0.0,2023
Red,False,Welterweight,MALE,3,-1,4.4,0.47,0.0,0.41,0.66,2,11,0,1,3,Orthodox,182.88,180.34,3,6.67,0.56,0.0,0.67,0.75,0,7,0,2,1,Orthodox,190.5,187.96,25,32,-4,1,2,4,0,-1,2,-7.620000000000003,-7.620000000000003,7,-2.27,0.0,-0.26,20.0,20.0,neither,0.0,0.0,0.0,2023
Blue,False,Bantamweight,MALE,3,2,5.28,0.46,0.8,1.0,0.36,0,6,0,0,2,Southpaw,172.72,170.18,1,4.33,0.48,0.5,0.72,0.42,2,10,0,2,0,Orthodox,177.8,177.8,26,22,1,0,-2,-4,0,-2,2,-5.0800000000000125,-7.620000000000003,-4,0.9500000000000002,0.3,0.28,20.0,20.0,neither,0.0,0.0,0.0,2023
Blue,False,Women's Strawweight,FEMALE,3,2,4.12,0.37,0.2,4.23,0.48,1,8,0,2,0,Orthodox,154.94,154.94,-1,2.52,0.31,0.6,1.32,0.21,5,28,1,2,4,Orthodox,165.1,170.18,40,28,3,-4,-4,-20,-1,0,-4,-10.159999999999997,-15.240000000000007,-12,1.6,-0.3999999999999999,2.91,20.0,20.0,neither,0.0,0.0,1.0,2023
Blue,False,Bantamweight,MALE,3,1,5.2,0.63,0.4,3.5,0.53,0,3,0,1,0,Orthodox,172.72,180.34,0,4.28,0.47,0.8,2.34,0.37,0,3,0,0,0,Switch,177.8,182.88,28,25,1,1,0,0,0,1,0,-5.0800000000000125,-2.539999999999992,-3,0.92,-0.4,1.16,20.0,20.0,neither,0.0,0.0,0.0,2023
Blue,False,Lightweight,MALE,3,0,2.61,0.42,0.0,7.3,0.52,0,0,0,0,0,Orthodox,180.34,175.26,1,6.16,0.52,0.5,0.95,0.66,0,1,0,0,1,Orthodox,177.8,175.26,26,32,-1,-1,0,-1,0,0,-1,2.539999999999992,0.0,6,-3.5500000000000003,-0.5,6.35,20.0,20.0,neither,0.0,0.0,0.0,2023
Blue,False,Middleweight,MALE,5,3,3.96,0.53,1.6,1.22,0.42,2,21,0,3,6,Orthodox,187.96,190.5,7,2.17,0.5,1.5,2.97,0.4,0,13,0,3,4,Southpaw,185.42,198.12,33,27,-4,2,2,8,0,0,2,2.539999999999992,-7.620000000000003,-6,1.79,0.1,-1.7500000000000002,20.0,11.0,Red,9.0,0.0,0.0,2023
Red,False,Heavyweight,MALE,3,2,3.39,0.43,0.0,0.89,0.46,3,20,0,1,3,Orthodox,198.12,205.74,-4,4.6,0.49,0.0,0.23,0.4,4,22,0,2,3,Orthodox,190.5,195.58,31,31,6,-1,-1,-2,0,-1,0,7.620000000000003,10.159999999999997,0,-1.2099999999999995,0.0,0.66,20.0,20.0,neither,0.0,0.0,0.0,2023
Red,False,Women's Flyweight,FEMALE,3,-1,2.7,0.36,0.8,1.71,0.31,3,23,0,1,4,Orthodox,170.18,172.72,5,4.27,0.63,0.9,6.2,0.61,0,11,1,2,3,Southpaw,165.1,167.64,32,28,-6,0,3,12,-1,-1,1,5.0800000000000125,5.079999999999984,-4,-1.5699999999999994,-0.0999999999999999,-4.49,20.0,20.0,neither,0.0,0.0,0.0,2023
Red,False,Welterweight,MALE,3,1,2.34,0.42,0.5,1.0,0.28,1,6,0,1,1,Orthodox,185.42,193.04,2,4.21,0.42,1.5,2.53,0.55,0,2,0,0,2,Orthodox,185.42,185.42,31,30,-1,0,1,4,0,1,-1,0.0,7.619999999999976,-1,-1.87,-1.0,-1.5299999999999998,20.0,20.0,neither,0.0,0.0,0.0,2023
Blue,False,Lightweight,MALE,3,1,5.09,0.56,0.0,1.76,0.5,0,2,0,0,1,Switch,175.26,177.8,-2,2.4,0.36,0.0,6.0,0.55,2,3,0,0,0,Orthodox,180.34,190.5,31,28,3,1,-2,-1,0,0,1,-5.0800000000000125,-12.699999999999989,-3,2.69,0.0,-4.24,20.0,20.0,neither,0.0,0.0,0.0,2023
Red,False,Women's Flyweight,FEMALE,3,0,1.63,0.47,0.0,0.0,0.0,0,0,0,0,0,Southpaw,167.64,167.64,-1,3.54,0.4,0.0,2.17,0.37,1,9,0,2,0,Orthodox,170.18,172.72,33,29,1,-2,-1,-9,0,-2,0,-2.539999999999992,-5.079999999999984,-4,-1.91,0.0,-2.17,20.0,20.0,neither,0.0,0.0,0.0,2023
Red,False,Lightweight,MALE,3,1,8.65,0.5,0.0,0.86,0.5,0,3,0,1,0,Orthodox,172.72,177.8,-1,2.64,0.6,1.2,2.31,0.26,2,12,0,1,3,Southpaw,175.26,180.34,27,31,2,-3,-2,-9,0,0,-3,-2.539999999999992,-2.539999999999992,4,6.01,-1.2,-1.4500000000000002,20.0,20.0,neither,0.0,0.0,0.0,2023
Red,False,Catch Weight,MALE,3,2,4.23,0.52,0.2,0.23,0.14,1,7,0,1,1,Switch,175.26,177.8,-1,3.74,0.39,0.3,1.37,0.27,3,9,0,1,3,Southpaw,170.18,185.42,31,32,3,-2,-2,-2,0,0,-2,5.079999999999984,-7.620000000000003,1,0.4900000000000002,-0.0999999999999999,-1.14,20.0,20.0,neither,0.0,0.0,0.0,2023
Red,False,Lightweight,MALE,3,0,1.53,0.31,0.0,0.0,0.0,0,0,0,0,0,Orthodox,170.18,175.26,1,2.24,0.55,1.6,2.51,0.5,1,14,0,3,2,Orthodox,175.26,177.8,29,33,-1,-5,-1,-14,0,-3,-2,-5.079999999999984,-2.5400000000000205,4,-0.7100000000000002,-1.6,-2.51,20.0,20.0,neither,0.0,0.0,0.0,2023
Blue,False,Lightweight,MALE,3,1,2.5,0.51,0.0,3.06,0.44,0,1,0,0,1,Orthodox,177.8,182.88,-1,1.85,0.48,1.5,0.29,0.25,2,9,0,0,2,Orthodox,172.72,172.72,32,22,2,-1,-2,-8,0,0,-1,5.0800000000000125,10.159999999999997,-10,0.6499999999999999,-1.5,2.77,20.0,20.0,neither,0.0,0.0,0.0,2023
Blue,False,Women's Flyweight,FEMALE,5,4,5.58,0.52,1.2,2.86,0.36,0,9,0,2,2,Orthodox,162.56,167.64,3,6.68,0.5,0.4,2.54,0.54,7,47,4,7,8,Orthodox,154.94,157.48,31,23,1,-11,-7,-38,-4,-5,-6,7.620000000000003,10.160000000000023,-8,-1.0999999999999996,0.7999999999999999,0.3199999999999998,10.0,3.0,Red,7.0,0.0,0.0,2023
Blue,False,Light Heavyweight,MALE,3,-1,4.44,0.62,0.0,0.42,0.09,1,2,0,0,0,Orthodox,187.96,193.04,-3,4.1,0.56,0.4,2.09,0.45,4,9,0,0,2,Orthodox,187.96,195.58,31,34,2,-2,-3,-7,0,0,-2,0.0,-2.5400000000000205,3,0.3400000000000007,-0.4,-1.67,20.0,20.0,neither,0.0,0.0,0.0,2023
Blue,False,Heavyweight,MALE,3,2,3.12,0.42,0.0,3.0,0.48,0,6,0,2,0,Orthodox,190.5,195.58,1,4.54,0.48,0.2,0.99,0.33,2,13,0,1,3,Orthodox,193.04,200.66,33,27,1,-2,-2,-7,0,1,-3,-2.539999999999992,-5.079999999999984,-6,-1.42,-0.2,2.01,20.0,20.0,neither,0.0,0.0,0.0,2023
Blue,False,Light Heavyweight,MALE,3,-1,5.39,0.55,0.0,0.0,0.0,4,11,0,1,1,Orthodox,190.5,187.96,-2,2.62,0.56,0.4,1.78,0.4,3,20,0,2,3,Orthodox,177.8,185.42,34,34,1,-3,1,-9,0,-1,-2,12.699999999999989,2.539999999999992,0,2.77,-0.4,-1.78,20.0,20.0,neither,0.0,0.0,0.0,2023
